chart,family,bucket,x_name,shape,E,tokens,N,backend,math,us,bytes,gbps,peak_gbps
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,4096,18432,te,standard,30.93588000000004,150994944,4880.900236230545,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,4096,18432,te,standard,41.768039999999985,235929600,5648.567660823924,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,4096,18432,cutedsl,standard,30.332900000000063,150994944,4977.926409937714,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,4096,18432,triton,standard,47.023979999999995,150994944,3211.0200795423953,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,4096,18432,cutedsl,standard,86.53883999999991,235929600,2726.285677043975,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,4096,18432,triton,standard,143.72449999999998,235929600,1641.540586330097,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,4096,18432,te,fast,31.02414000000005,150994944,4867.014653750265,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,4096,18432,te,fast,37.410100000000014,235929600,6306.574962376468,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,4096,18432,cutedsl,fast,30.31693999999996,150994944,4980.546981324639,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,4096,18432,triton,fast,47.07920000000021,150994944,3207.253819096317,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,4096,18432,cutedsl,fast,45.24177999999996,235929600,5214.8611305744425,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,4096,18432,triton,fast,117.25749999999996,235929600,2012.0640470758806,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,8192,18432,te,standard,55.43945999999994,301989888,5447.2011091017175,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,8192,18432,te,standard,75.48052000000003,471859200,6251.403673424611,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,8192,18432,cutedsl,standard,52.85455999999992,301989888,5713.601399765705,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,8192,18432,triton,standard,79.19279999999996,301989888,3813.350304573145,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,8192,18432,cutedsl,standard,165.89767999999995,471859200,2844.278473333685,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,8192,18432,triton,standard,271.29787999999996,471859200,1739.2660790419743,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,8192,18432,te,fast,55.35997999999993,301989888,5455.0216239240035,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,8192,18432,te,fast,71.10018,471859200,6636.540160657822,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,8192,18432,cutedsl,fast,52.49614000000006,301989888,5752.611296754382,7928.1
linear_amax,linear,amax,tokens/rank,dense-MLP down input,0,8192,18432,triton,fast,79.12502,301989888,3816.6168931142133,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,dense-MLP down input,0,8192,18432,cutedsl,fast,81.29441999999996,471859200,5804.324577258811,7928.1
